target,split,model,train_rows,test_rows,train_actives,test_actives,ap,roc_auc,ef_0_5pct,ef_1pct,ef_2pct,bedroc20
PKM2,scaffold,logreg_balanced,64000,16000,469,77,0.026311769855434236,0.7722945897912926,20.77922077922078,15.584415584415584,9.09090909090909,0.29166044762235366
PKM2,scaffold,random_forest_balanced,64000,16000,469,77,0.10273076014495278,0.7464726757259572,33.76623376623377,23.376623376623375,16.883116883116884,0.3936422395820311
PKM2,scaffold,lightgbm_weighted,64000,16000,469,77,0.15359618274139497,0.7809074678383225,44.15584415584416,31.16883116883117,18.18181818181818,0.43535653096815846
PKM2,scaffold,xgboost_weighted,64000,16000,469,77,0.1137253621337688,0.7653684003618061,44.15584415584416,32.467532467532465,16.883116883116884,0.4383982215864933
MAPK1,scaffold,logreg_balanced,49592,12398,250,52,0.019696074527597907,0.764049240488978,7.691066997518609,5.768300248138957,7.691066997518609,0.2717735721219615
MAPK1,scaffold,random_forest_balanced,49592,12398,250,52,0.02960001106670232,0.6451427743647896,7.691066997518609,5.768300248138957,4.806916873449131,0.1518996407498613
MAPK1,scaffold,lightgbm_weighted,49592,12398,250,52,0.057135686859350984,0.699164475569789,19.227667493796524,11.536600496277915,10.575217121588087,0.2421901070073242
MAPK1,scaffold,xgboost_weighted,49592,12398,250,52,0.06411291375411268,0.7430544305848048,23.07320099255583,15.382133995037218,9.613833746898262,0.2705042045806167
