target,split,seed,train_rows,test_rows,train_actives,test_actives,train_scaffolds,test_scaffolds,ap,roc_auc,ef_0_5pct,ef_1pct,ef_2pct,bedroc20,median_test_similarity,p95_test_similarity
PKM2,random,42,196257,49065,437,109,68873,27970,0.10199719319573454,0.8100587983517872,56.72465876034907,33.92075711429585,21.085876044021745,0.4655843266664294,0.2976190476190476,0.4583333333333333
PKM2,scaffold,42,196214,49108,491,55,77334,633,0.006320923658025827,0.7016553523739629,10.88869179600887,10.88869179600887,7.26651253121243,0.24479299997354304,0.2898550724637681,0.4411764705882353
MAPK1,random,42,49592,12398,242,60,26295,8748,0.028071808662933358,0.6959143837466905,13.331182795698924,11.664784946236558,8.331989247311826,0.2298063986252841,0.2891566265060241,0.4666666666666667
MAPK1,scaffold,42,49592,12398,250,52,30438,350,0.05067246097550395,0.749021794664108,34.609801488833746,21.150434243176175,15.382133995037218,0.3408290149263094,0.2727272727272727,0.4444444444444444
