index,target,split,model,ap_mean,ap_std,roc_auc_mean,roc_auc_std,ef_0_5pct_mean,ef_0_5pct_std,ef_1pct_mean,ef_1pct_std,ef_2pct_mean,ef_2pct_std,bedroc20_mean,bedroc20_std
0,MAPK1,random,lightgbm_weighted,0.033783373269345565,0.013952013832132138,0.7195932620089696,0.0268764234690609,13.99774193548387,5.961886190331698,8.665268817204302,3.6126644496349436,7.498790322580644,2.2818092298215893,0.21569095974007513,0.03647565439480076
1,MAPK1,random,logreg_balanced,0.015496583914612613,0.004559128580984374,0.7452881342194846,0.02126785475346264,4.665913978494624,3.799971752790084,5.33247311827957,2.738171075785907,4.83255376344086,2.788416937895018,0.19959839500748183,0.05972535075551276
2,MAPK1,random,random_forest_balanced,0.029843240189478325,0.015632516400764077,0.6118568649700113,0.023332237089541928,12.664623655913976,4.943334884032905,8.331989247311828,3.1175449113725344,7.165510752688171,1.1178536606871925,0.1824592604984774,0.018841939383975156
3,MAPK1,random,xgboost_weighted,0.034422812002943545,0.010528849038643519,0.7575907764629599,0.01753961494224839,13.331182795698926,4.713284878038072,10.331666666666667,3.4150993439883623,6.832231182795698,1.2358337210082255,0.23919980575064947,0.019517947861390134
4,MAPK1,scaffold,lightgbm_weighted,0.07624350557470065,0.009655920533366733,0.7478716933823714,0.028567785430300426,24.844690173311704,3.742622389771772,17.86063226320539,2.412591772507066,12.037934005869776,1.5372283644503688,0.3160919923663131,0.024204190097002837
5,MAPK1,scaffold,logreg_balanced,0.017246606819620168,0.00325610095042889,0.7790848800592511,0.02102713320622364,5.489913783875833,8.130662656923594,6.6000565642990185,5.07143891871212,6.230751615473663,3.7283443105425005,0.26147181960177573,0.0378146156756345
6,MAPK1,scaffold,random_forest_balanced,0.031866582495109375,0.005503778502794642,0.6610434266701545,0.012548702618605743,13.983765420096592,2.3446820696553785,11.246047179450459,0.9468930548740887,8.14974823397218,0.9754984897917545,0.20452570997173178,0.012364967878033704
7,MAPK1,scaffold,xgboost_weighted,0.06507101851508665,0.008248499257021346,0.7654226796275728,0.010309687761669089,25.614365949422982,2.551721476969477,16.29949646794436,1.950996979583509,11.049707299306258,1.1318908705344555,0.30706335220726266,0.00545269740251488
8,PKM2,random,lightgbm_weighted,0.32581152792334733,0.02861521225832032,0.8597858461225817,0.02403096580718292,66.05504587155963,6.986947803544874,40.73394495412843,3.703968667557125,24.40366972477064,1.7587421571266806,0.5677790233555475,0.024141539271804444
9,PKM2,random,logreg_balanced,0.04568116273009311,0.003884399558515436,0.8424473145320848,0.020582626905632433,9.174311926605505,4.102877022935394,8.990825688073395,2.5457682432131388,9.541284403669724,1.535156011989129,0.3661254057536429,0.025681287265308942
10,PKM2,random,random_forest_balanced,0.22641829569315264,0.052974562029604315,0.773100982091877,0.02493839929389475,52.47706422018348,8.060874362014236,33.94495412844036,4.447412713225989,20.642201834862384,2.4702590858415143,0.47543458662374255,0.04998198478077984
11,PKM2,random,xgboost_weighted,0.2625345293342833,0.01966788595141223,0.8558433918223864,0.020778432227701277,56.5137614678899,2.3923678551202388,37.064220183486235,2.3923678551202356,23.027522935779814,0.7537466387685764,0.5350480633129138,0.016245185864741427
12,PKM2,scaffold,lightgbm_weighted,0.13579255764245818,0.01440259512357858,0.7852405955755968,0.030795840403102785,43.99312103421693,4.655087413105463,28.7093399750934,3.015831152253484,17.70010081242958,2.063764900841695,0.4398726915867712,0.037339329712877026
13,PKM2,scaffold,logreg_balanced,0.024009241096094952,0.004303468170751751,0.7807146545160027,0.028176404948455636,14.39297871078693,9.411599436957712,9.892379766352368,5.684199041143782,8.71681195516812,2.9767776950383875,0.29588806096084214,0.03376678132476331
14,PKM2,scaffold,random_forest_balanced,0.04647342329437051,0.009555445572470296,0.7138877079771999,0.02532923519234583,25.710632746249182,3.266760449871084,20.122587914368737,1.2197060217431581,13.143331554290459,1.2726493705578068,0.3483213094946364,0.028135173985314933
15,PKM2,scaffold,xgboost_weighted,0.15719428645176303,0.023718103368073735,0.7902845638001964,0.02596489439753205,46.10026685643124,3.0986438457115337,30.01458815157445,0.9737480877842478,18.100290577002905,1.2692944519475986,0.43545992881626655,0.01794451506053851
