target,split,model,train_rows,test_rows,train_actives,test_actives,ap,roc_auc,ef_0_5pct,ef_1pct,ef_2pct,bedroc20,seed
PKM2,random,logreg_balanced,64000,16000,437,109,0.04229749888097971,0.8337839374777367,14.678899082568806,12.844036697247706,10.55045871559633,0.3699771595530427,11
PKM2,random,random_forest_balanced,64000,16000,437,109,0.24470609335405408,0.7846178582418413,55.04587155963302,32.11009174311926,20.183486238532108,0.4505840743500243,11
PKM2,random,lightgbm_weighted,64000,16000,437,109,0.33307384873920803,0.8536110971590289,69.72477064220183,39.449541284403665,22.01834862385321,0.5453800429809339,11
PKM2,random,xgboost_weighted,64000,16000,437,109,0.27101469030484754,0.8512989003642359,56.88073394495412,37.61467889908256,23.85321100917431,0.5396685047236647,11
PKM2,scaffold,logreg_balanced,64000,16000,473,73,0.031012252533048863,0.8268598769557339,21.91780821917808,16.438356164383563,11.643835616438356,0.3318680716054445,11
PKM2,scaffold,random_forest_balanced,64000,16000,473,73,0.050926535239966035,0.7501950250758812,24.65753424657534,21.91780821917808,14.383561643835616,0.38328756720761864,11
PKM2,scaffold,lightgbm_weighted,64000,16000,473,73,0.12264262164006037,0.8362339819260994,41.09589041095891,32.87671232876713,19.178082191780824,0.4788007658369768,11
PKM2,scaffold,xgboost_weighted,64000,16000,473,73,0.13719668490127535,0.8318303286140276,49.31506849315068,30.136986301369863,19.863013698630137,0.4640232154043649,11
MAPK1,random,logreg_balanced,49592,12398,242,60,0.013875278114234524,0.731952099205706,0.0,4.999193548387097,5.832392473118279,0.1812794221723706,11
MAPK1,random,random_forest_balanced,49592,12398,242,60,0.02784803888946548,0.6377715188847463,13.331182795698924,8.331989247311826,8.331989247311826,0.20856757079680557,11
MAPK1,random,lightgbm_weighted,49592,12398,242,60,0.05437949449786109,0.7591438374669044,19.996774193548386,11.664784946236558,10.831586021505375,0.27193953750168454,11
MAPK1,random,xgboost_weighted,49592,12398,242,60,0.03235698732472451,0.7883773707245907,9.998387096774193,9.998387096774193,6.665591397849462,0.25440521260693083,11
MAPK1,scaffold,logreg_balanced,49592,12398,252,50,0.019616199657565763,0.793742306446388,3.999354838709677,5.999032258064516,8.998548387096774,0.2799199065285349,11
MAPK1,scaffold,random_forest_balanced,49592,12398,252,50,0.02963823390308773,0.6826409135082605,15.997419354838708,11.998064516129032,8.998548387096774,0.21896647938738675,11
MAPK1,scaffold,lightgbm_weighted,49592,12398,252,50,0.08026065269988757,0.7925542597991577,27.995483870967742,19.996774193548386,13.997741935483871,0.34587320638273206,11
MAPK1,scaffold,xgboost_weighted,49592,12398,252,50,0.0654323982690344,0.7550971817298348,27.995483870967742,17.997096774193547,10.998225806451613,0.3122662541652366,11
PKM2,random,logreg_balanced,64000,16000,437,109,0.04930461527036136,0.8514033966488446,7.339449541284403,8.256880733944953,10.091743119266054,0.38175874120001557,23
PKM2,random,random_forest_balanced,64000,16000,437,109,0.22507649451113737,0.7949147835685654,45.871559633027516,33.027522935779814,22.935779816513758,0.5097987009208933,23
PKM2,random,lightgbm_weighted,64000,16000,437,109,0.2971712788548354,0.8922400828118623,56.88073394495412,40.366972477064216,25.229357798165136,0.5712401386048377,23
PKM2,random,xgboost_weighted,64000,16000,437,109,0.2681135346573799,0.8859524085816275,55.04587155963302,35.77981651376147,22.477064220183486,0.5519101911213871,23
PKM2,scaffold,logreg_balanced,64000,16000,471,75,0.01991189320383626,0.7607748822605966,10.666666666666666,8.0,4.666666666666667,0.25058886522730395,23
PKM2,scaffold,random_forest_balanced,64000,16000,471,75,0.04604382607215704,0.7274478283621141,29.333333333333332,20.0,14.666666666666666,0.3722212615230112,23
