target,split,seed,train_rows,test_rows,train_actives,test_actives,train_scaffolds,test_scaffolds,ap,roc_auc,ef_0_5pct,ef_1pct,ef_2pct,bedroc20,median_test_similarity,p95_test_similarity,model,model_label
PKM2,random,42.0,196257,49065,437,109,68873.0,27970.0,0.1019971931957345,0.8100587983517872,56.72465876034907,33.92075711429585,21.085876044021745,0.4655843266664294,0.2976190476190476,0.4583333333333333,max_similarity,Max-similarity
PKM2,scaffold,42.0,196214,49108,491,55,77334.0,633.0,0.0063209236580258,0.7016553523739629,10.88869179600887,10.88869179600887,7.26651253121243,0.244792999973543,0.2898550724637681,0.4411764705882353,max_similarity,Max-similarity
MAPK1,random,42.0,49592,12398,242,60,26295.0,8748.0,0.0280718086629333,0.6959143837466905,13.331182795698924,11.664784946236558,8.331989247311826,0.2298063986252841,0.2891566265060241,0.4666666666666667,max_similarity,Max-similarity
MAPK1,scaffold,42.0,49592,12398,250,52,30438.0,350.0,0.0506724609755039,0.749021794664108,34.609801488833746,21.150434243176175,15.382133995037218,0.3408290149263094,0.2727272727272727,0.4444444444444444,max_similarity,Max-similarity
PKM2,random,,64000,16000,437,109,,,0.0503559140963653,0.8514481395331382,9.174311926605505,10.091743119266054,9.633027522935778,0.3830797939036432,,,logreg_balanced,Logistic regression
PKM2,random,,64000,16000,437,109,,,0.1467446190292385,0.7548981911750867,44.03669724770642,29.357798165137613,16.972477064220183,0.4073524987121625,,,random_forest_balanced,Random forest
PKM2,random,,64000,16000,437,109,,,0.299451190168121,0.8469319948571662,60.55045871559633,35.77981651376147,24.77064220183486,0.5593457620251117,,,lightgbm_weighted,LightGBM
PKM2,random,,64000,16000,437,109,,,0.2375260987881617,0.8328607907424375,53.211009174311926,33.944954128440365,22.47706422018349,0.5134306773216828,,,xgboost_weighted,XGBoost
PKM2,scaffold,,64000,16000,469,77,,,0.0211375430420891,0.7851144020207639,25.974025974025977,12.987012987012989,9.09090909090909,0.3200704765287899,,,logreg_balanced,Logistic regression
PKM2,scaffold,,64000,16000,469,77,,,0.0600174576462808,0.6882248254791117,28.57142857142857,19.48051948051948,12.337662337662335,0.3282550535504293,,,random_forest_balanced,Random forest
PKM2,scaffold,,64000,16000,469,77,,,0.1327043493161013,0.7787028646791254,38.96103896103896,27.272727272727273,17.532467532467532,0.4396232654087585,,,lightgbm_weighted,LightGBM
PKM2,scaffold,,64000,16000,469,77,,,0.1603065542200933,0.7769888530109594,49.35064935064935,31.16883116883117,18.18181818181818,0.4337786152947571,,,xgboost_weighted,XGBoost
MAPK1,random,,49592,12398,242,60,,,0.0150644507459168,0.7720761063381423,3.332795698924731,3.332795698924731,2.4995967741935483,0.1786101550245846,,,logreg_balanced,Logistic regression
MAPK1,random,,49592,12398,242,60,,,0.0225669093221403,0.6204638785324472,13.331182795698924,8.331989247311826,5.832392473118279,0.1648474650471943,,,random_forest_balanced,Random forest
MAPK1,random,,49592,12398,242,60,,,0.025256193605052,0.731266547792727,9.998387096774191,6.665591397849462,4.999193548387097,0.1838710856056008,,,lightgbm_weighted,LightGBM
MAPK1,random,,49592,12398,242,60,,,0.028788396696743,0.7537242664937591,9.998387096774191,9.998387096774191,7.4987903225806445,0.240841674460567,,,xgboost_weighted,XGBoost
MAPK1,scaffold,,49592,12398,250,52,,,0.0143632151289693,0.7643023589078992,0.0,1.9227667493796523,0.9613833746898262,0.2199105226372436,,,logreg_balanced,Logistic regression
MAPK1,scaffold,,49592,12398,250,52,,,0.0259051989887149,0.6553819985295767,15.382133995037218,11.536600496277917,6.729683622828784,0.1912759570253313,,,random_forest_balanced,Random forest
MAPK1,scaffold,,49592,12398,250,52,,,0.0721651540943795,0.7231819088088325,26.918734491315135,19.227667493796524,10.575217121588087,0.2907634947702821,,,lightgbm_weighted,LightGBM
MAPK1,scaffold,,49592,12398,250,52,,,0.0575174984431401,0.7817542897730814,23.07320099255583,13.459367245657567,9.613833746898262,0.3093483434320113,,,xgboost_weighted,XGBoost
