target,model,score_type,train_rows,calibration_rows,test_rows,test_actives,ap,roc_auc,ef_1pct,bedroc20,brier,log_loss,ece10
PKM2,lightgbm_weighted,raw,51200,12800,16000,77,0.18803139637108,0.7853998667287619,31.16883116883117,0.44843529355659095,0.01836393395659273,0.07132045722460614,0.03992114122417454
PKM2,lightgbm_weighted,calibrated,51200,12800,16000,77,0.15992179237983645,0.7912657586713983,28.57142857142857,0.4423992496723169,0.004326092128035176,0.027001868961313694,0.0028463204038480607
PKM2,xgboost_weighted,raw,51200,12800,16000,77,0.18524334923010094,0.7891007127645953,31.16883116883117,0.44400449409452464,0.04986525000881359,0.19972651724259316,0.14972738745249808
PKM2,xgboost_weighted,calibrated,51200,12800,16000,77,0.15273981763582825,0.7842934870819064,31.16883116883117,0.433245024376773,0.004430455061775619,0.025704423564600027,0.0028106526182964443
PKM2,ensemble,calibrated_mean,51200,12800,16000,77,0.2057128890150418,0.7890636023525555,31.16883116883117,0.45120481795869377,0.00428686634083154,0.025278150960649327,0.0032218491972400053
MAPK1,lightgbm_weighted,raw,39673,9919,12398,52,0.039705168767262905,0.7123951700332715,11.536600496277915,0.2759249090579806,0.0108379880083801,0.0499513407239357,0.02136504936187879
MAPK1,lightgbm_weighted,calibrated,39673,9919,12398,52,0.031594819875899266,0.7060103552692246,9.613833746898262,0.25118164331697707,0.004140315672658957,0.025329635887628047,0.0013666047082517997
MAPK1,xgboost_weighted,raw,39673,9919,12398,52,0.030380614849345147,0.7504750838016672,13.459367245657567,0.23734690054925622,0.05387033958660616,0.21532910819231496,0.16529326466144878
MAPK1,xgboost_weighted,calibrated,39673,9919,12398,52,0.017290585826166296,0.7401307181397899,13.459367245657567,0.24249139914823697,0.004142060404393268,0.025293326270052454,0.0014986659702593266
MAPK1,ensemble,calibrated_mean,39673,9919,12398,52,0.042488295542764065,0.7524680992909568,13.459367245657567,0.27121167798041607,0.0041328598689257465,0.025090367878642224,0.0014326249256801718
